case_id,domain,variant,internal_variant,trial_type,search_order,seed,expected_status,actual_status,status_match,inspected_count,inspected_regions,plan_length,runtime_sec,ref_complete,exact_structural_match,role_precision,role_recall,relation_precision,relation_recall,spec_sha256
kitchen_K12,kitchen,K12,I5_MISSING_COFFEE_JAR,live,auto,,INFEASIBLE,INCOMPLETE,False,5,D1;D2;C2;B1;C1,0,42.3306,False,False,1.0,0.6666666666666666,0.2,0.25,bdf936a39b6134266490d59337eade80f859ca4007e7d65a4a470a42b72fbeeb
kitchen_K12,kitchen,K12,I5_MISSING_COFFEE_JAR,provider_replay,provider,,INFEASIBLE,INCOMPLETE,False,5,D1;D2;C2;B1;C1,0,24.4498,False,False,1.0,0.6666666666666666,0.2,0.25,bdf936a39b6134266490d59337eade80f859ca4007e7d65a4a470a42b72fbeeb
living_room_L1,living_room,L1,F0_ALL_OBJECTS_IN_STAGING,live,auto,,ACTION_SEQUENCE_READY,INFEASIBLE,False,0,,0,23.939,False,False,1.0,0.6666666666666666,0.0,0.0,da157622c5d859919b10fd4397898014919ef6e3d3db25bed34ac798c399bc99
living_room_L1,living_room,L1,F0_ALL_OBJECTS_IN_STAGING,provider_replay,provider,,ACTION_SEQUENCE_READY,INFEASIBLE,False,0,,0,7.8068,False,False,1.0,0.6666666666666666,0.0,0.0,da157622c5d859919b10fd4397898014919ef6e3d3db25bed34ac798c399bc99
living_room_L2,living_room,L2,F1_LEFT_SAUCER_PREPLACED,live,auto,,ACTION_SEQUENCE_READY,INFEASIBLE,False,0,,0,25.2276,False,False,1.0,0.6666666666666666,0.0,0.0,18eb5c18be766b94506b8eb958425470be0b74ffdc6bd6511a25b39435d21f98
living_room_L2,living_room,L2,F1_LEFT_SAUCER_PREPLACED,provider_replay,provider,,ACTION_SEQUENCE_READY,INFEASIBLE,False,0,,0,7.874,False,False,1.0,0.6666666666666666,0.0,0.0,18eb5c18be766b94506b8eb958425470be0b74ffdc6bd6511a25b39435d21f98
living_room_L3,living_room,L3,F2_LEFT_SAUCER_ON_SHARED,live,auto,,ACTION_SEQUENCE_READY,INFEASIBLE,False,0,,0,23.7658,False,False,1.0,0.5,0.0,0.0,371fff5e6cdb8489fc0e3030fcf392e4c9ae9d12d71c4499adda31e3fd0e0a8f
living_room_L3,living_room,L3,F2_LEFT_SAUCER_ON_SHARED,provider_replay,provider,,ACTION_SEQUENCE_READY,INFEASIBLE,False,0,,0,8.2205,False,False,1.0,0.5,0.0,0.0,371fff5e6cdb8489fc0e3030fcf392e4c9ae9d12d71c4499adda31e3fd0e0a8f
living_room_L4,living_room,L4,F3_LEFT_CUP_ON_SHARED,live,auto,,ACTION_SEQUENCE_READY,VLM_SPEC_FAILED,False,0,,0,12.8406,False,False,0.0,0.0,0.0,0.0,
living_room_L5,living_room,L5,F4_SAUCER_PREPLACED_CUP_ON_SHARED,live,auto,,ACTION_SEQUENCE_READY,VLM_SPEC_FAILED,False,0,,0,19.3156,False,False,0.0,0.0,0.0,0.0,
living_room_L6,living_room,L6,F5_LEFT_PAIR_ON_SHARED,live,auto,,ACTION_SEQUENCE_READY,VLM_SPEC_FAILED,False,0,,0,17.5333,False,False,0.0,0.0,0.0,0.0,
living_room_L7,living_room,L7,I0_NO_SHARED_TABLE,live,auto,,INFEASIBLE,VLM_SPEC_FAILED,False,0,,0,12.4192,False,False,0.0,0.0,0.0,0.0,
living_room_L8,living_room,L8,I1_NO_LEFT_PERSONAL_TABLE,live,auto,,INFEASIBLE,INFEASIBLE,True,0,,0,24.3833,False,False,1.0,0.6666666666666666,0.0,0.0,c584784fd182e647e93adf3f0dcd64af44eb20a8e66ee3ab7123b36b73ef909d
living_room_L8,living_room,L8,I1_NO_LEFT_PERSONAL_TABLE,provider_replay,provider,,INFEASIBLE,INFEASIBLE,True,0,,0,7.4202,False,False,1.0,0.6666666666666666,0.0,0.0,c584784fd182e647e93adf3f0dcd64af44eb20a8e66ee3ab7123b36b73ef909d
living_room_L9,living_room,L9,I2_NO_PERSONAL_TABLES,live,auto,,INFEASIBLE,VLM_SPEC_FAILED,False,0,,0,20.3109,False,False,0.0,0.0,0.0,0.0,
living_room_L10,living_room,L10,I3_NO_TABLES,live,auto,,INFEASIBLE,INFEASIBLE,True,0,,0,27.3612,False,False,1.0,0.5,0.0,0.0,5b50a71a12afef502f8c8faaa41ad098fa6a8fd39a7c15a2af38eada7975c485
living_room_L10,living_room,L10,I3_NO_TABLES,provider_replay,provider,,INFEASIBLE,INFEASIBLE,True,0,,0,6.0852,False,False,1.0,0.5,0.0,0.0,5b50a71a12afef502f8c8faaa41ad098fa6a8fd39a7c15a2af38eada7975c485
workshop_W1,workshop,W1,F0_MANUAL_FIRST_ONE_REGION,live,auto,,ACTION_SEQUENCE_READY,VLM_SPEC_FAILED,False,0,,0,8.5119,False,False,0.0,0.0,0.0,0.0,
workshop_W2,workshop,W2,F1_POWER_FIRST_ONE_REGION,live,auto,,ACTION_SEQUENCE_READY,VLM_SPEC_FAILED,False,0,,0,17.8051,False,False,0.0,0.0,0.0,0.0,
workshop_W3,workshop,W3,F2_MANUAL_FIRST_TWO_REGIONS,live,auto,,ACTION_SEQUENCE_READY,VLM_SPEC_FAILED,False,0,,0,9.9116,False,False,0.0,0.0,0.0,0.0,
workshop_W4,workshop,W4,F3_POWER_FIRST_TWO_REGIONS,live,auto,,ACTION_SEQUENCE_READY,VLM_SPEC_FAILED,False,0,,0,9.927,False,False,0.0,0.0,0.0,0.0,
workshop_W5,workshop,W5,F4_MANUAL_FIRST_THREE_REGIONS,live,auto,,ACTION_SEQUENCE_READY,VLM_SPEC_FAILED,False,0,,0,7.9649,False,False,0.0,0.0,0.0,0.0,
workshop_W6,workshop,W6,F5_POWER_FIRST_THREE_REGIONS,live,auto,,ACTION_SEQUENCE_READY,VLM_SPEC_FAILED,False,0,,0,15.0423,False,False,0.0,0.0,0.0,0.0,
workshop_W7,workshop,W7,F6_MANUAL_ONLY,live,auto,,ACTION_SEQUENCE_READY,VLM_SPEC_FAILED,False,0,,0,15.0772,False,False,0.0,0.0,0.0,0.0,
workshop_W8,workshop,W8,F7_POWER_ONLY,live,auto,,ACTION_SEQUENCE_READY,VLM_SPEC_FAILED,False,0,,0,17.4375,False,False,0.0,0.0,0.0,0.0,
workshop_W9,workshop,W9,I0_NO_DRIVER,live,auto,,INFEASIBLE,VLM_SPEC_FAILED,False,0,,0,13.7401,False,False,0.0,0.0,0.0,0.0,
workshop_W10,workshop,W10,I1_NO_SCREW,live,auto,,INFEASIBLE,VLM_SPEC_FAILED,False,0,,0,12.8164,False,False,0.0,0.0,0.0,0.0,
