FITS_ON,NEAR_SEAT,PLANAR_SUPPORT,candidate_rank,compatibility_status,fit_margin_m,general_suitability_status,maximum_distance_m,measured_distance_m,near_seat_margin_m,per_payload_fit_evidence,region_centroid_world_m,region_contributing_camera_ids,region_evidence_path,region_id,region_semantic_confidence,region_semantic_label,region_semantic_supporting_views,rejection_reason,seating_centroid_world_m,seating_target_id,semantic_role_status,target_contributing_camera_ids,target_evidence_path
TRUE,TRUE,TRUE,1,TRUE,0.2687191772608054,TRUE,1.15,0.8429562812499568,0.3070437187500431,"[{""edge_clearance_margin_m"": 0.015, ""method"": ""region_payload_relations_v1"", ""payload_length_m"": 0.1407263530581176, ""payload_width_m"": 0.10388896585159699, ""region_usable_length_m"": 0.4844223729733867, ""region_usable_width_m"": 0.40438656081107727, ""relation"": ""FITS_ON"", ""selected_orientation_degrees"": 0, ""signed_fit_margin_m"": 0.2704975949594802, ""status"": ""TRUE"", ""tested_orientations"": [{""fits"": true, ""length_margin_m"": 0.3136960199152691, ""orientation_degrees"": 0, ""signed_fit_margin_m"": 0.2704975949594802, ""width_margin_m"": 0.2704975949594802}, {""fits"": true, ""length_margin_m"": 0.3505334071217897, ""orientation_degrees"": 90, ""signed_fit_margin_m"": 0.23366020775295968, ""width_margin_m"": 0.23366020775295968}], ""value"": true}, {""edge_clearance_margin_m"": 0.015, ""method"": ""region_payload_relations_v1"", ""payload_length_m"": 0.13955868539249416, ""payload_width_m"": 0.10566738355027186, ""region_usable_length_m"": 0.4844223729733867, ""region_usable_width_m"": 0.40438656081107727, ""relation"": ""FITS_ON"", ""selected_orientation_degrees"": 0, ""signed_fit_margin_m"": 0.2687191772608054, ""status"": ""TRUE"", ""tested_orientations"": [{""fits"": true, ""length_margin_m"": 0.31486368758089256, ""orientation_degrees"": 0, ""signed_fit_margin_m"": 0.2687191772608054, ""width_margin_m"": 0.2687191772608054}, {""fits"": true, ""length_margin_m"": 0.3487549894231148, ""orientation_degrees"": 90, ""signed_fit_margin_m"": 0.2348278754185831, ""width_margin_m"": 0.2348278754185831}], ""value"": true}]","[-1.485162377357483, 0.5807040929794312, 0.6288148760795593]","[""inspection_left"", ""inspection_right"", ""inspection_top"", ""inspection_front"", ""inspection_close""]",observation/regions/region_0001/fused.ply,region_0001,0.5195316523313522,side_table,4,,"[-0.9102882742881775, 1.1972225904464722, 0.8074507117271423]",seating_0001,TRUE,"[""inspection_left"", ""inspection_right"", ""inspection_top"", ""inspection_front"", ""inspection_close""]",observation/seats/seating_0001/observed_points.ply
TRUE,FALSE,TRUE,1,FALSE,0.2687191772608054,TRUE,1.15,2.4447625952686094,-1.2947625952686095,"[{""edge_clearance_margin_m"": 0.015, ""method"": ""region_payload_relations_v1"", ""payload_length_m"": 0.1407263530581176, ""payload_width_m"": 0.10388896585159699, ""region_usable_length_m"": 0.4844223729733867, ""region_usable_width_m"": 0.40438656081107727, ""relation"": ""FITS_ON"", ""selected_orientation_degrees"": 0, ""signed_fit_margin_m"": 0.2704975949594802, ""status"": ""TRUE"", ""tested_orientations"": [{""fits"": true, ""length_margin_m"": 0.3136960199152691, ""orientation_degrees"": 0, ""signed_fit_margin_m"": 0.2704975949594802, ""width_margin_m"": 0.2704975949594802}, {""fits"": true, ""length_margin_m"": 0.3505334071217897, ""orientation_degrees"": 90, ""signed_fit_margin_m"": 0.23366020775295968, ""width_margin_m"": 0.23366020775295968}], ""value"": true}, {""edge_clearance_margin_m"": 0.015, ""method"": ""region_payload_relations_v1"", ""payload_length_m"": 0.13955868539249416, ""payload_width_m"": 0.10566738355027186, ""region_usable_length_m"": 0.4844223729733867, ""region_usable_width_m"": 0.40438656081107727, ""relation"": ""FITS_ON"", ""selected_orientation_degrees"": 0, ""signed_fit_margin_m"": 0.2687191772608054, ""status"": ""TRUE"", ""tested_orientations"": [{""fits"": true, ""length_margin_m"": 0.31486368758089256, ""orientation_degrees"": 0, ""signed_fit_margin_m"": 0.2687191772608054, ""width_margin_m"": 0.2687191772608054}, {""fits"": true, ""length_margin_m"": 0.3487549894231148, ""orientation_degrees"": 90, ""signed_fit_margin_m"": 0.2348278754185831, ""width_margin_m"": 0.2348278754185831}], ""value"": true}]","[-1.485162377357483, 0.5807040929794312, 0.6288148760795593]","[""inspection_left"", ""inspection_right"", ""inspection_top"", ""inspection_front"", ""inspection_close""]",observation/regions/region_0001/fused.ply,region_0001,0.5195316523313522,side_table,4,NEAR_SEAT,"[0.9004525542259216, 1.1152184009552002, 0.7587382197380066]",seating_0002,TRUE,"[""inspection_left"", ""inspection_right"", ""inspection_top"", ""inspection_front"", ""inspection_close""]",observation/seats/seating_0002/observed_points.ply
TRUE,TRUE,TRUE,2,TRUE,0.27268467256584517,TRUE,1.15,1.0559416399418808,0.09405836005811907,"[{""edge_clearance_margin_m"": 0.015, ""method"": ""region_payload_relations_v1"", ""payload_length_m"": 0.1407263530581176, ""payload_width_m"": 0.10388896585159699, ""region_usable_length_m"": 0.48471000021915456, ""region_usable_width_m"": 0.408352056116117, ""relation"": ""FITS_ON"", ""selected_orientation_degrees"": 0, ""signed_fit_margin_m"": 0.27446309026452, ""status"": ""TRUE"", ""tested_orientations"": [{""fits"": true, ""length_margin_m"": 0.313983647161037, ""orientation_degrees"": 0, ""signed_fit_margin_m"": 0.27446309026452, ""width_margin_m"": 0.27446309026452}, {""fits"": true, ""length_margin_m"": 0.3508210343675575, ""orientation_degrees"": 90, ""signed_fit_margin_m"": 0.23762570305799943, ""width_margin_m"": 0.23762570305799943}], ""value"": true}, {""edge_clearance_margin_m"": 0.015, ""method"": ""region_payload_relations_v1"", ""payload_length_m"": 0.13955868539249416, ""payload_width_m"": 0.10566738355027186, ""region_usable_length_m"": 0.48471000021915456, ""region_usable_width_m"": 0.408352056116117, ""relation"": ""FITS_ON"", ""selected_orientation_degrees"": 0, ""signed_fit_margin_m"": 0.27268467256584517, ""status"": ""TRUE"", ""tested_orientations"": [{""fits"": true, ""length_margin_m"": 0.31515131482666037, ""orientation_degrees"": 0, ""signed_fit_margin_m"": 0.27268467256584517, ""width_margin_m"": 0.27268467256584517}, {""fits"": true, ""length_margin_m"": 0.3490426166688827, ""orientation_degrees"": 90, ""signed_fit_margin_m"": 0.23879337072362286, ""width_margin_m"": 0.23879337072362286}], ""value"": true}]","[-0.5545711815357208, 0.2030002325773239, 0.6282370686531067]","[""inspection_left"", ""inspection_right"", ""inspection_top"", ""inspection_front"", ""inspection_close""]",observation/regions/region_0002/fused.ply,region_0002,0.5117334276437759,side_table,2,,"[-0.9102882742881775, 1.1972225904464722, 0.8074507117271423]",seating_0001,TRUE,"[""inspection_left"", ""inspection_right"", ""inspection_top"", ""inspection_front"", ""inspection_close""]",observation/seats/seating_0001/observed_points.ply
TRUE,FALSE,TRUE,2,FALSE,0.27268467256584517,TRUE,1.15,1.7173339973192323,-0.5673339973192324,"[{""edge_clearance_margin_m"": 0.015, ""method"": ""region_payload_relations_v1"", ""payload_length_m"": 0.1407263530581176, ""payload_width_m"": 0.10388896585159699, ""region_usable_length_m"": 0.48471000021915456, ""region_usable_width_m"": 0.408352056116117, ""relation"": ""FITS_ON"", ""selected_orientation_degrees"": 0, ""signed_fit_margin_m"": 0.27446309026452, ""status"": ""TRUE"", ""tested_orientations"": [{""fits"": true, ""length_margin_m"": 0.313983647161037, ""orientation_degrees"": 0, ""signed_fit_margin_m"": 0.27446309026452, ""width_margin_m"": 0.27446309026452}, {""fits"": true, ""length_margin_m"": 0.3508210343675575, ""orientation_degrees"": 90, ""signed_fit_margin_m"": 0.23762570305799943, ""width_margin_m"": 0.23762570305799943}], ""value"": true}, {""edge_clearance_margin_m"": 0.015, ""method"": ""region_payload_relations_v1"", ""payload_length_m"": 0.13955868539249416, ""payload_width_m"": 0.10566738355027186, ""region_usable_length_m"": 0.48471000021915456, ""region_usable_width_m"": 0.408352056116117, ""relation"": ""FITS_ON"", ""selected_orientation_degrees"": 0, ""signed_fit_margin_m"": 0.27268467256584517, ""status"": ""TRUE"", ""tested_orientations"": [{""fits"": true, ""length_margin_m"": 0.31515131482666037, ""orientation_degrees"": 0, ""signed_fit_margin_m"": 0.27268467256584517, ""width_margin_m"": 0.27268467256584517}, {""fits"": true, ""length_margin_m"": 0.3490426166688827, ""orientation_degrees"": 90, ""signed_fit_margin_m"": 0.23879337072362286, ""width_margin_m"": 0.23879337072362286}], ""value"": true}]","[-0.5545711815357208, 0.2030002325773239, 0.6282370686531067]","[""inspection_left"", ""inspection_right"", ""inspection_top"", ""inspection_front"", ""inspection_close""]",observation/regions/region_0002/fused.ply,region_0002,0.5117334276437759,side_table,2,NEAR_SEAT,"[0.9004525542259216, 1.1152184009552002, 0.7587382197380066]",seating_0002,TRUE,"[""inspection_left"", ""inspection_right"", ""inspection_top"", ""inspection_front"", ""inspection_close""]",observation/seats/seating_0002/observed_points.ply
