ablation_name,mask_backend,semantic_backend,ablation_flag,passed,total,accuracy
Controlled Full Grounding,oracle,oracle,none,14,14,1.0
Controlled Semantic Only,oracle,oracle,semantic_only,4,14,0.2857
Controlled No Joint Coupling,oracle,oracle,no_joint_coupling,8,14,0.5714
Controlled No Persistence,oracle,oracle,no_persistence,7,14,0.5
Controlled Single Front View,oracle,oracle,single_front_view,8,14,0.5714
