ablation_name,mask_backend,semantic_backend,ablation_flag,passed,total,accuracy
Full Production Pipeline,production,production,none,1,14,0.0714
Oracle Masks (Upper Bound),oracle,production,oracle_mask,0,14,0.0
Oracle Semantics + Perfect Masks,oracle,oracle,oracle_semantics,14,14,1.0
Semantic-Only Grounding (No Geo),production,production,semantic_only,1,14,0.0714
No Joint Coupling Checks,production,production,no_joint_coupling,1,14,0.0714
No Multi-Stage Persistence,production,production,no_persistence,1,14,0.0714
Single Front Camera View,production,production,single_front_view,1,14,0.0714
