run_id,domain,variant,protocol,repeat,operator,failure_stage,reason_code,classification
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r00,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,0,pick-from,IK,NO_IK_SOLUTION,REFINEMENT_IK_REJECTION
workshop__F0_MANUAL_FIRST_ONE_REGION__initial_observation_only__r00,workshop,F0_MANUAL_FIRST_ONE_REGION,initial_observation_only,0,pick-from,COLLISION,PATH_COLLISION,REFINEMENT_COLLISION_REJECTION
