causal_category,count,percentage
UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,13,0.40625
UNRESOLVED_IDENTITY_FAILURE,7,0.21875
UNRESOLVED_INCONSISTENT_CORRECTIVE_FACT_SET,5,0.15625
UNRESOLVED_REFINEMENT_FAILURE,2,0.0625
SYMBOLIC_NO_PLAN_AFTER_BOUNDED_CP,2,0.0625
UNRESOLVED_INVALID_CORRECTIVE_SELECTION,2,0.0625
PLAN_FOUND,1,0.03125
