causal_category,count,percentage
UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,21,0.328125
UNRESOLVED_IDENTITY_FAILURE,15,0.234375
UNRESOLVED_FM_FAILURE,12,0.1875
SYMBOLIC_NO_PLAN_AFTER_BOUNDED_CP,5,0.078125
UNRESOLVED_INCONSISTENT_CORRECTIVE_FACT_SET,5,0.078125
UNRESOLVED_REFINEMENT_FAILURE,2,0.03125
UNRESOLVED_INVALID_CORRECTIVE_SELECTION,2,0.03125
PLAN_FOUND,2,0.03125
