observation_protocol,total_runs,feasible_runs,task_success_rate,task_success_feasible_rate,action_sequence_generation_rate,nonempty_action_sequence_rate,val_valid_plan_rate,execution_ready_plan_rate,physical_execution_unconditional,generated_goal_satisfaction_rate,generated_goal_evaluation_coverage,benchmark_requirement_coverage,generated_goal_atom_coverage,feasibility_accuracy,feasibility_coverage,average_fm_calls,average_cp_calls,average_plan_length
fixed_full_inspection,160,84,0.0,0.0,0.24375,0.16875,0.24375,0.075,0.075,0.0,0.075,0.31194690265486724,0.0,0.3695652173913043,0.8625,7.188405797101449,2.35,2.6923076923076925
initial_observation_only,160,100,0.0,0.0,0.6375,0.6,0.6375,0.0375,0.0375,0.0,0.0375,0.3425925925925926,0.0,0.3375,1.0,7.35,2.8875,3.2254901960784315
