ablation_name,mask_backend,semantic_backend,ablation_flag,passed,total,accuracy
Full Production Pipeline,production,production,none,1,14,0.0714
Production Semantic Only,production,production,semantic_only,1,14,0.0714
Production No Joint Coupling,production,production,no_joint_coupling,1,14,0.0714
Production No Persistence,production,production,no_persistence,0,14,0.0
Production Single Front View,production,production,single_front_view,1,14,0.0714
