FITS_ON,NEAR_SEATING_AREA,PLANAR_SUPPORT,candidate_rank,discovery_stage,fit_margin_m,geometry_only_status,joint_status,near_sofa_margin_m,parent_semantic_label,payload_length_m,payload_width_m,planarity_score,region_evidence_path,region_id,rejection_reason,selected_orientation_degrees,semantic_confidence,semantic_evidence_path,semantic_only_status,semantic_role_status,semantic_supporting_views,sofa_distance_m,support_area_m2,support_length_m,support_normal_world,support_width_m,tested_orientations
TRUE,TRUE,TRUE,1,0,0.032305919638270154,TRUE,FALSE,1.4288625476743984,sofa,0.396306038949873,0.36991656870980494,0.9810530001398272,stages/000_initial_SOFA_SEAT_PATCH/region_evidence/fused.ply,region_0001,REGION_REJECTED_SEMANTIC,0,0.6644221067428588,stages/000_initial_SOFA_SEAT_PATCH/semantic_overview.png,FALSE,FALSE,5,0.2211374523256015,0.5927293368154428,1.3403419148347409,"[8.212339792928689e-05, -0.008083781044134257, 0.9999673223359741]",0.4422224883480751,"[{'orientation_degrees': 0, 'length_margin_m': 0.9040358758848679, 'width_margin_m': 0.032305919638270154, 'signed_fit_margin_m': 0.032305919638270154, 'fits': True}, {'orientation_degrees': 90, 'length_margin_m': 0.9304253461249359, 'width_margin_m': 0.005916449398202107, 'signed_fit_margin_m': 0.005916449398202107, 'fits': True}]"
FALSE,TRUE,TRUE,2,1,-0.1680998808022627,FALSE,FALSE,0.2638427260648333,side_table,0.396306038949873,0.36991656870980494,0.9713093689954619,stages/001_after_SMALL_SIDE_TABLE/region_evidence/fused.ply,region_0002,REGION_REJECTED_FIT,0,0.27907230146229267,stages/001_after_SMALL_SIDE_TABLE/semantic_overview.png,TRUE,TRUE,4,1.3861572739351666,0.07661723996585267,0.3168401677685164,"[0.0013047008618183881, -0.0060787989991485936, 0.9999806727924239]",0.24181668790754224,"[{'orientation_degrees': 0, 'length_margin_m': -0.11946587118135657, 'width_margin_m': -0.1680998808022627, 'signed_fit_margin_m': -0.1680998808022627, 'fits': False}, {'orientation_degrees': 90, 'length_margin_m': -0.09307640094128852, 'width_margin_m': -0.19448935104233075, 'signed_fit_margin_m': -0.19448935104233075, 'fits': False}]"
TRUE,TRUE,TRUE,3,2,0.12471956536638909,TRUE,TRUE,0.37626022920575863,side_table,0.396306038949873,0.36991656870980494,0.9867969918653615,stages/002_after_COFFEE_TABLE/region_evidence/fused.ply,region_0003,,0,0.7161232709884644,stages/002_after_COFFEE_TABLE/semantic_overview.png,TRUE,TRUE,5,1.2737397707942413,0.3747850560410993,0.7010095879297349,"[-1.4233824676415112e-05, -0.0014794399566090512, 0.9999989055268075]",0.534636134076194,"[{'orientation_degrees': 0, 'length_margin_m': 0.2647035489798619, 'width_margin_m': 0.12471956536638909, 'signed_fit_margin_m': 0.12471956536638909, 'fits': True}, {'orientation_degrees': 90, 'length_margin_m': 0.29109301921992997, 'width_margin_m': 0.09833009512632104, 'signed_fit_margin_m': 0.09833009512632104, 'fits': True}]"
